Category,saiga-mistral-7b_t1.0_r1,saiga-mistral-7b_t0.5_r1,saiga-mistral-7b_t0.0_r1,neural-chat_t1.0_r1,neural-chat_t1.0_r2,neural-chat_t0.5_r1,neural-chat_t0.0_r1,neural-chat_t0.5_r2,neural-chat_t0.0_r3,neural-chat_t0.0_r2,neural-chat_t1.0_r3,neural-chat_t0.5_r3,gpt-4-1106-preview_t1.0_r1,gpt-4-1106-preview_t1.0_r2,gpt-4-1106-preview_t0.5_r1,gpt-4-1106-preview_t0.0_r1,gpt-4-1106-preview_t0.5_r2,gpt-4-1106-preview_t0.0_r3,gpt-4-1106-preview_t0.0_r2,gpt-4-1106-preview_t1.0_r3,gpt-4-1106-preview_t0.5_r3,claude-3-sonnet_t1.0_r1,claude-3-sonnet_t1.0_r2,claude-3-sonnet_t0.5_r1,claude-3-sonnet_t0.0_r1,claude-3-sonnet_t0.5_r2,claude-3-sonnet_t0.0_r2,llama3_t1.0_r1,llama3_t1.0_r2,llama3_t0.5_r1,llama3_t0.0_r1,llama3_t0.5_r2,llama3_t0.0_r3,llama3_t0.0_r2,llama3_t1.0_r3,llama3_t0.5_r3,mistral_t1.0_r1,mistral_t1.0_r2,mistral_t0.5_r1,mistral_t0.0_r1,mistral_t0.5_r2,mistral_t0.0_r3,mistral_t0.0_r2,mistral_t1.0_r3,mistral_t0.5_r3,gemma_t1.0_r1,gemma_t1.0_r2,gemma_t0.5_r1,gemma_t0.0_r1,gemma_t0.5_r2,gemma_t0.0_r3,gemma_t0.0_r2,gemma_t1.0_r3,gemma_t0.5_r3,openchat_t1.0_r1,openchat_t1.0_r2,openchat_t0.5_r1,openchat_t0.0_r1,openchat_t0.5_r2,openchat_t0.0_r3,openchat_t0.0_r2,openchat_t1.0_r3,openchat_t0.5_r3,claude-3-haiku_t0.5_r1,claude-3-haiku_t0.0_r1,claude-3-haiku_t0.5_r2,claude-3-haiku_t0.0_r3,claude-3-haiku_t0.0_r2,claude-3-haiku_t0.5_r3,claude-3-haiku_t1.0_r3,gpt-3.5-turbo-1106_t0.0_r1,gpt-3.5-turbo-1106_t0.0_r3,gpt-3.5-turbo-1106_t0.0_r2,gpt-3.5-turbo-1106_t1.0_r3,gpt-3.5-turbo-1106_t0.5_r3,gemini-pro_t1.0_r1,gemini-pro_t1.0_r2,gemini-pro_t0.5_r1,gemini-pro_t0.0_r1,gemini-pro_t0.5_r2,gemini-pro_t0.0_r3,gemini-pro_t0.0_r2,gemini-pro_t1.0_r3,gemini-pro_t0.5_r3,mixtral-8x7b-instruct_t1.0_r1,mixtral-8x7b-instruct_t1.0_r2,mixtral-8x7b-instruct_t0.5_r1,mixtral-8x7b-instruct_t0.0_r1,mixtral-8x7b-instruct_t0.5_r2,mixtral-8x7b-instruct_t0.0_r3,mixtral-8x7b-instruct_t0.0_r2,mixtral-8x7b-instruct_t1.0_r3,mixtral-8x7b-instruct_t0.5_r3,gpt-4o_t0.5_r1,gpt-4o_t0.0_r1,gpt-4o_t0.5_r2,gpt-4o_t0.0_r3,gpt-4o_t0.0_r2,gpt-4o_t0.5_r3,gemini-flash-1.5_t1.0_r1,gemini-flash-1.5_t1.0_r2,gemini-flash-1.5_t0.5_r1,gemini-flash-1.5_t0.0_r1,gemini-flash-1.5_t0.5_r2,gemini-flash-1.5_t0.0_r3,gemini-flash-1.5_t0.0_r2,gemini-flash-1.5_t1.0_r3,gemini-flash-1.5_t0.5_r3,wizardlm2_t1.0_r1,wizardlm2_t1.0_r2,wizardlm2_t0.5_r1,wizardlm2_t0.0_r1,wizardlm2_t0.5_r2,wizardlm2_t0.0_r3,wizardlm2_t0.0_r2,wizardlm2_t1.0_r3,wizardlm2_t0.5_r3,vicuna:13b_t1.0_r1,vicuna:13b_t1.0_r2,vicuna:13b_t0.5_r1,vicuna:13b_t0.0_r1,vicuna:13b_t0.5_r2,vicuna:13b_t0.0_r3,vicuna:13b_t0.0_r2,vicuna:13b_t1.0_r3,vicuna:13b_t0.5_r3
DECIMAL,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.8,0.8,0.9,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.6,0.6,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
CARDINAL,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,,0.8,1.0,0.9,1.0,0.8,0.9,0.9,0.9,1.0,0.9,1.0,1.0,1.0,1.0,0.5,0.3,0.4,0.6,0.7,0.8,0.7,0.5,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0
LETTERS,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.1,0.1,0.0,0.2,0.6,0.6,0.9,0.9,0.9,0.9,,0.5,0.8,0.6,0.5,0.6,0.8,0.8,0.9,1.0,0.9,0.9,0.9,0.7,0.9,0.3,0.3,0.1,0.2,0.3,0.3,0.2,0.2,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DATE,0.3,0.3,0.4,0.0,0.1,0.1,0.3,0.2,0.3,0.3,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.6,1.0,1.0,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.2,0.1,0.2,0.2,0.0,0.1,0.1,0.0,0.2,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.9,1.0,1.0,0.8,1.0,0.4,0.9,0.5,0.7,0.9,0.8,1.0,0.8,0.7,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.1,0.2,0.2,0.0,0.1
FRACTION,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9,1.0,0.9,0.9,0.9,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.0,0.9,0.7,0.9,0.5,0.6,0.4,0.3,0.6,0.6,0.5,0.6,0.7,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONEY,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.1,0.4,0.2,0.4,0.3,0.1,0.9,0.7,0.9,0.9,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,,0.6,0.9,0.8,0.8,0.9,0.6,0.8,0.9,0.8,0.9,0.9,0.8,0.7,0.8,0.2,0.2,0.2,0.4,0.1,0.4,0.3,0.2,0.5,0.9,0.9,1.0,1.0,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIME,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.0,0.2,0.3,0.4,0.3,0.3,0.1,0.4,0.2,0.5,0.1,0.3,0.3,0.3,0.3,0.2,0.4,0.9,1.0,1.0,1.0,1.0,1.0,,0.8,0.9,0.9,0.6,1.0,0.9,0.7,0.9,1.0,0.9,0.9,1.0,0.9,0.9,0.5,0.3,0.5,0.6,0.5,0.7,0.7,0.6,0.8,0.8,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1
MEASURE,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9,1.0,0.9,,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.8,1.0,0.4,0.1,0.5,0.5,0.5,0.7,0.5,0.5,0.7,0.8,1.0,0.8,1.0,1.0,0.9,0.7,1.0,0.9,0.8,1.0,1.0,1.0,0.9,0.9,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORDINAL,0.2,0.4,0.5,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.9,1.0,0.9,1.0,1.0,1.0,1.0,0.9,1.0,0.6,0.8,0.7,0.6,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.7,0.9,0.8,0.9,0.9,,0.8,0.8,0.7,0.8,0.7,0.6,0.7,0.9,0.7,0.7,0.6,0.6,0.7,0.7,0.4,0.4,0.5,0.7,0.8,0.7,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.7,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,0.4,0.5,0.5,0.2,0.3
ROMAN,0.4,0.7,0.8,0.0,0.1,0.0,0.2,0.3,0.2,0.2,0.1,0.2,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.4,0.3,0.3,0.3,0.3,0.1,0.2,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.3,0.4,0.4,0.3,0.5,0.5,0.5,0.6,0.6,0.3,0.5,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.4,0.5,0.8,0.9,1.0,1.0,0.9,1.0,1.0,0.8,1.0,0.4,0.8,0.5,0.6,0.7,0.8,0.9,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1
